Id.de Torneo;Nombre Torneo;Categoria;Sexo;Fecha Torneo;Club1;Club2;Fase;Categ.;Par;Pais1;Pais2;Jugador 1 Race.Apellidos;Jugador 1 Race.Nombre;Jugador 2 Race.Apellidos;Jugador 2 Race.Nombre;Jugador 3 Race.Nombre;Jugador 3 Race.Apellidos;Jugador 4 Race.Nombre;Jugador 4 Race.Apellidos;Set-1-P1;Set-1-P2;Set-2-P1;Set-2-P2;Set-3-P1;Set-3-P2
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8PP;Gold;2;;;Díaz Romero;Pablo José;Bautista Ortiz;Jairo José;Alfonso;Viuda Hernández;Alfonso;Sánchez Arriaga;6;7;6;4;6;3
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8PP;Gold;2;;;Martins;Ricardo;Solla;David Antolín;Manuel;Rocafort ;Simon;Vasquez;7;5;2;6;1;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8PP;Gold;2;;;Zapata Pizarro;Teodoro Víctor;Gaspar Campos;José Carlos;Martín;Andornino;Mario;Cerezo Casado;3;6;6;4;2;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8PP;Gold;2;;;Ayats Delgado;Arnau;Germán Gutiérrez;Cristian;Daniel;Bressel Ambrossi;Adrián;Marqués Berdonce;6;3;6;4;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8PP;Gold;2;;;González Rodríguez;José Luis;Benítez Lara;Miguel;Facundo;Domínguez;Vasco;Pascoal;4;6;1;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8PP;Gold;2;;;de Paiz Ferrer;Javier;Blanque;Bastien;Carlos;Pérez Cabeza;Javier;Bravo Álvarez;6;1;4;6;7;5
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8PP;Gold;2;;;Jurado Sosa;Francisco;Menéndez Gil;Jaime;Jaime;Muñoz Enrile;Javier;García Mora;6;4;6;3;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Valdés González;Javier;Restivo;Juan Manuel;Bye;Bye;Bye;Bye;6;0;6;0;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Alba Sánchez;Sergio;Gil Morales;Francisco Manuel;Pablo José;Díaz Romero;Jairo José;Bautista Ortiz;3;6;7;6;6;4
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Domínguez;Facundo;Pascoal;Vasco;José David;Sánchez Serrano;Pedro;Alonso-Martínez;5;7;3;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Bye;Bye;Bye;Bye;Antón;Sans Riola;Íñigo;Zaratiegui Pedrosa;0;6;0;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;Gomes;Francisco de Paula;Rocha;Diogo;Bye;Bye;Bye;Bye;6;0;6;0;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16P;Gold;2;;;de Paiz Ferrer;Javier;Blanque;Bastien;Mario;del Castillo Marín;Andrés;Britos;4;6;3;6;;
