FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO4;Gold;2;Heininger;Nils;Sell;Christopher;González Serrano;Francisco;Quesada Hernández;Juan Fernando;2;6;4;6;2;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO2;Gold;2;Maarsen;Uriël;Verhagen;Miquel;Hillbricht;Alexander;Ahrens;Jasper;2;6;0;6;0;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO2;Gold;2;Barragana;Mateus;Pieterse;Christiaan;Heininger;Nils;Sell;Christopher;2;6;3;7;5;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO1;Gold;2;Maarsen;Uriël;Verhagen;Miquel;Barragana;Mateus;Pieterse;Christiaan;2;6;3;6;0;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO2;Silver;2;González Serrano;Francisco;Quesada Hernández;Juan Fernando;Reissig;Sven;Sosna;Klaus;2;6;0;6;0;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO2;Silver;2;Meléndez Núñez;Gabriel;González Teruel;Roberto;Diehl;Gerhard;Kölling;Tim;2;6;3;6;3;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO1;Silver;2;González Serrano;Francisco;Quesada Hernández;Juan Fernando;Meléndez Núñez;Gabriel;González Teruel;Roberto;2;6;3;2;6;6;4;;
I Weyher Lokales Turnier 2017 Kat. B;GPS-100;MO;10/06/2017;;;PoolA;Gold;3;Möller;Stefan;Mechau;Wolfgang;Kraßmann;Jan;Cavero Pintado;David;2;2;6;2;6;;;;
I Weyher Lokales Turnier 2017 Kat. B;GPS-100;MO;10/06/2017;;;PoolA;Gold;3;Möller;Stefan;Mechau;Wolfgang;Förster;Rainer;Bednarz;Christoph;2;1;6;3;6;;;;
I Weyher Lokales Turnier 2017 Kat. B;GPS-100;MO;10/06/2017;;;PoolA;Gold;3;Kraßmann;Jan;Cavero Pintado;David;Förster;Rainer;Bednarz;Christoph;2;4;6;7;6;1;0;;
I Weyher Lokales Turnier 2017 Kat. B;GPS-100;MO;10/06/2017;;;PoolB;Gold;3;Schwarz;Alexander;Brokoriow;Danny;Trinks;Harald;Meier-Klages;Michael;2;6;1;6;3;;;;
I Weyher Lokales Turnier 2017 Kat. B;GPS-100;MO;10/06/2017;;;PoolB;Gold;3;Schwarz;Alexander;Brokoriow;Danny;Lührsen;Frank;Lüllmann;Torsten;2;6;3;6;3;;;;
I Weyher Lokales Turnier 2017 Kat. B;GPS-100;MO;10/06/2017;;;PoolB;Gold;3;Trinks;Harald;Meier-Klages;Michael;Lührsen;Frank;Lüllmann;Torsten;2;3;6;3;6;;;;
I Weyher Lokales Turnier 2017 Kat. B;GPS-100;MO;10/06/2017;;;KO1;Gold;2;Kraßmann;Jan;Cavero Pintado;David;Schwarz;Alexander;Laube;Denny;2;3;6;6;2;1;0;;
I Weyher Lokales Turnier 2017 Kat. B;GPS-100;MO;10/06/2017;;;POS3;Gold;2;Förster;Rainer;Bednarz;Christoph;Lührsen;Frank;Lüllmann;Torsten;2;6;0;6;0;;;;
I Weyher Lokales Turnier 2017 Kat. B;GPS-100;MO;10/06/2017;;;POS5;Gold;2;Möller;Stefan;Mechau;Wolfgang;Trinks;Harald;Meier-Klages;Michael;2;6;3;6;7;0;1;;
I Weyher Lokales Turnier 2017 Kat. A;GPS-100;MO;10/06/2017;;;PoolA;Gold;4;Bosselmann;Lars;Samuelsen;Lennart;Daum;Malte;Jürgens;Yessa;2;6;1;6;0;;;;
I Weyher Lokales Turnier 2017 Kat. A;GPS-100;MO;10/06/2017;;;PoolA;Gold;4;Herbert;Justus;Steinebach;David;Ernsting;David;Enz;Franz;2;2;6;4;6;;;;
I Weyher Lokales Turnier 2017 Kat. A;GPS-100;MO;10/06/2017;;;PoolA;Gold;4;Daum;Malte;Jürgens;Yessa;Herbert;Justus;Steinebach;David;2;1;6;1;6;;;;
I Weyher Lokales Turnier 2017 Kat. A;GPS-100;MO;10/06/2017;;;PoolA;Gold;4;Bosselmann;Lars;Samuelsen;Lennart;Ernsting;David;Enz;Franz;2;6;2;6;2;;;;
I Weyher Lokales Turnier 2017 Kat. A;GPS-100;MO;10/06/2017;;;PoolA;Gold;4;Bosselmann;Lars;Samuelsen;Lennart;Herbert;Justus;Steinebach;David;2;3;6;2;6;;;;
I Weyher Lokales Turnier 2017 Kat. A;GPS-100;MO;10/06/2017;;;PoolA;Gold;4;Daum;Malte;Jürgens;Yessa;Ernsting;David;Enz;Franz;2;6;3;6;2;;;;
Hamburger Open 2017;GPS-1000;MO;18/06/2017;;;PoolA;Gold;4;Gutiérrez Soria;Ignacio;Deters;Jannik;Korff;Niklas;Paul;Winfried;2;6;3;6;1;;;;
Hamburger Open 2017;GPS-1000;MO;18/06/2017;;;PoolA;Gold;4;Schottmayer;Anton;Hemp;Robin;Plehm;Michael;Bednarz;Christoph;2;4;6;6;3;4;6;;
Hamburger Open 2017;GPS-1000;MO;18/06/2017;;;PoolA;Gold;4;Gutiérrez Soria;Ignacio;Deters;Jannik;Plehm;Michael;Bednarz;Christoph;2;6;0;6;2;;;;
Hamburger Open 2017;GPS-1000;MO;18/06/2017;;;PoolA;Gold;4;Schottmayer;Anton;Hemp;Robin;Korff;Niklas;Paul;Winfried;2;6;7;4;6;;;;
Hamburger Open 2017;GPS-1000;MO;18/06/2017;;;PoolA;Gold;4;Gutiérrez Soria;Ignacio;Deters;Jannik;Schottmayer;Anton;Hemp;Robin;2;6;0;6;1;;;;
Hamburger Open 2017;GPS-1000;MO;18/06/2017;;;PoolA;Gold;4;Korff;Niklas;Paul;Winfried;Plehm;Michael;Bednarz;Christoph;2;6;2;6;3;;;;
Hamburger Open 2017;GPS-1000;MO;18/06/2017;;;PoolB;Gold;4;Christesen;Malte;Bettink;Anton;González Teruel;Roberto;Meléndez Núñez;Gabriel;2;6;2;6;0;;;;
Hamburger Open 2017;GPS-1000;MO;18/06/2017;;;PoolB;Gold;4;Bosselmann;Lars;Wiessner;Christian;Bott;Frederick;Schaafstall;Benjamin;2;6;2;7;5;;;;
Hamburger Open 2017;GPS-1000;MO;18/06/2017;;;PoolB;Gold;4;Bosselmann;Lars;Wiessner;Christian;González Teruel;Roberto;Meléndez Núñez;Gabriel;2;6;2;6;0;;;;
